epoch,train_loss,train_err,test_err
0,1.2445056438446045,0.50626,0.5083
1,0.9891552925109863,0.41134,0.4152
2,0.870683491230011,0.31094,0.3191
3,0.8118010759353638,0.28094,0.2828
4,0.7498365640640259,0.2207,0.2226
5,0.7451950311660767,0.24122,0.2579
6,0.44958657026290894,0.248,0.2669
7,0.4341084957122803,0.20246,0.2232
8,0.56287682056427,0.22092,0.2409
9,0.6337904334068298,0.23324,0.2534
10,0.571811854839325,0.1525,0.1739
11,0.43980130553245544,0.16936,0.1893
12,0.5870850682258606,0.14452,0.1647
13,0.29163986444473267,0.20262,0.2284
14,0.2586471736431122,0.1387,0.1638
15,0.5296504497528076,0.1647,0.1921
16,0.5597577095031738,0.1461,0.1799
17,0.35314804315567017,0.12834,0.1632
18,0.6216252446174622,0.1402,0.1712
19,0.35359451174736023,0.14402,0.1774
20,0.5373240113258362,0.12636,0.1536
21,0.2971745729446411,0.15604,0.179
22,0.30870693922042847,0.19116,0.216
23,0.4488683342933655,0.12456,0.1517
24,0.23521113395690918,0.11858,0.1547
25,0.4168729782104492,0.14736,0.1815
26,0.24203689396381378,0.1298,0.1611
27,0.25474220514297485,0.13606,0.1676
28,0.2585431933403015,0.13744,0.1679
29,0.34018686413764954,0.19406,0.2349
30,0.20340928435325623,0.14432,0.1815
31,0.25008612871170044,0.13472,0.1742
32,0.31188884377479553,0.11988,0.1494
33,0.26477542519569397,0.10792,0.1474
34,0.2597648501396179,0.13724,0.1735
35,0.3111150860786438,0.1123,0.1548
36,0.36894091963768005,0.11552,0.1559
37,0.28812175989151,0.11222,0.1537
38,0.40006256103515625,0.1217,0.1638
39,0.30331534147262573,0.1542,0.1929
40,0.30183500051498413,0.1334,0.1662
41,0.257336288690567,0.10168,0.1348
42,0.2865135073661804,0.10436,0.1459
43,0.37623876333236694,0.09934,0.14
44,0.3236054480075836,0.09272,0.1359
45,0.447983980178833,0.11414,0.1528
46,0.2617737650871277,0.1069,0.1523
47,0.2694188058376312,0.11432,0.1551
48,0.28508979082107544,0.11574,0.1543
49,0.35147079825401306,0.08964,0.1334
50,0.32731518149375916,0.12736,0.1624
51,0.22125163674354553,0.08052,0.1232
52,0.2920525372028351,0.09416,0.1433
53,0.3035129904747009,0.11552,0.1505
54,0.23883256316184998,0.10092,0.1419
55,0.40432295203208923,0.09576,0.1365
56,0.20195624232292175,0.101,0.1411
57,0.35343411564826965,0.10478,0.153
58,0.4885927736759186,0.0853,0.1284
59,0.14660044014453888,0.1183,0.1573
60,0.22172005474567413,0.11066,0.1524
61,0.23926743865013123,0.10408,0.1494
62,0.20969465374946594,0.11424,0.1513
63,0.1819232553243637,0.09882,0.1389
64,0.17740920186042786,0.11638,0.1636
65,0.4079989790916443,0.0976,0.1479
66,0.3380332887172699,0.09124,0.1359
67,0.41855597496032715,0.10484,0.1458
68,0.3396984934806824,0.11734,0.165
69,0.2721729874610901,0.12254,0.1778
70,0.26807448267936707,0.11136,0.1596
71,0.2711227536201477,0.08462,0.1326
72,0.2307322472333908,0.08476,0.1347
73,0.30678409337997437,0.1379,0.1777
74,0.19018271565437317,0.09682,0.1454
75,0.18368586897850037,0.09832,0.1402
76,0.28348419070243835,0.07838,0.1248
77,0.2093227356672287,0.12992,0.1677
78,0.17258253693580627,0.08182,0.1236
79,0.18476784229278564,0.107,0.1498
80,0.24275997281074524,0.11424,0.1589
81,0.4394020438194275,0.10246,0.1505
82,0.08722977340221405,0.03788,0.0931
83,0.09345075488090515,0.03142,0.0914
84,0.054448194801807404,0.02876,0.0909
85,0.10860182344913483,0.02722,0.0895
86,0.05360868573188782,0.02526,0.0881
87,0.11925029754638672,0.02418,0.0887
88,0.17249062657356262,0.0243,0.088
89,0.11840198189020157,0.02298,0.0891
90,0.10935590416193008,0.02156,0.0901
91,0.0944451317191124,0.02046,0.0879
92,0.0946926549077034,0.01978,0.0871
93,0.03641476482152939,0.0189,0.0881
94,0.03594702109694481,0.01754,0.0864
95,0.053303539752960205,0.0187,0.0881
96,0.1708710938692093,0.01642,0.0855
97,0.03209640830755234,0.01742,0.0873
98,0.10856207460165024,0.0166,0.0898
99,0.04760252684354782,0.01398,0.0879
100,0.04684720188379288,0.01566,0.0884
101,0.07083652913570404,0.0157,0.0873
102,0.03161207586526871,0.0149,0.0875
103,0.07109550386667252,0.01348,0.0881
104,0.06897840648889542,0.01348,0.088
105,0.10644181072711945,0.01394,0.0863
106,0.012031761929392815,0.01552,0.09
107,0.09160463511943817,0.01342,0.0903
108,0.09322920441627502,0.01234,0.0887
109,0.0508483350276947,0.0128,0.0885
110,0.015865104272961617,0.01242,0.0892
111,0.049951814115047455,0.01126,0.0872
112,0.11270807683467865,0.00984,0.0868
113,0.10412303358316422,0.01094,0.0909
114,0.11602161824703217,0.01068,0.0878
115,0.01868380978703499,0.01222,0.0884
116,0.06723617017269135,0.01036,0.0868
117,0.04382992535829544,0.01178,0.0889
118,0.06544790416955948,0.01034,0.0882
119,0.04785571247339249,0.00926,0.0885
120,0.014708956703543663,0.00862,0.0867
121,0.03269593045115471,0.0085,0.0857
122,0.07461309432983398,0.01138,0.09
123,0.020660625770688057,0.0073,0.0858
124,0.022923070937395096,0.00668,0.0845
125,0.020240522921085358,0.00656,0.0835
126,0.016298722475767136,0.0065,0.0841
127,0.01904706470668316,0.00552,0.0853
128,0.07570008188486099,0.00584,0.0833
129,0.04372682422399521,0.00564,0.0834
130,0.01412559486925602,0.0065,0.0833
131,0.03481664881110191,0.00558,0.0831
132,0.024520423263311386,0.00566,0.0856
133,0.014568532817065716,0.00518,0.0844
134,0.014100432395935059,0.00462,0.0847
135,0.07333636283874512,0.00544,0.0857
136,0.008337561041116714,0.005,0.0849
137,0.02770226076245308,0.0049,0.085
138,0.01606680452823639,0.00508,0.0845
139,0.017689291387796402,0.00478,0.0848
140,0.021013690158724785,0.0048,0.0848
141,0.05220184475183487,0.0051,0.0843
142,0.021819736808538437,0.00464,0.0848
143,0.039795782417058945,0.00496,0.0853
144,0.0286030825227499,0.00424,0.0856
145,0.004007289651781321,0.00456,0.0852
146,0.052788518369197845,0.00488,0.085
147,0.0227985717356205,0.00438,0.0849
148,0.02731330133974552,0.00442,0.0845
149,0.01222597248852253,0.00462,0.0856
150,0.027166571468114853,0.00456,0.0845
151,0.008366512134671211,0.00486,0.0844
152,0.037084128707647324,0.00478,0.0844
153,0.01988164708018303,0.00464,0.0841
154,0.08076521009206772,0.00466,0.0846
155,0.02184506691992283,0.00406,0.0845
156,0.04254988580942154,0.00464,0.0844
157,0.0168482456356287,0.0044,0.0849
158,0.01884065568447113,0.00428,0.0844
159,0.01668316312134266,0.0041,0.0837
160,0.017626535147428513,0.00446,0.0839
161,0.018765747547149658,0.00462,0.0852
162,0.013578099198639393,0.00424,0.0844
163,0.009601844474673271,0.00432,0.084
