epoch,train_loss,train_err,test_err
139,0.08702141791582108,0.01998,0.1163
140,0.05208702012896538,0.01946,0.1163
141,0.02248539961874485,0.0201,0.1164
142,0.039887286722660065,0.01852,0.115
143,0.0249122753739357,0.01868,0.1135
144,0.19256097078323364,0.01906,0.1144
145,0.10025985538959503,0.01876,0.114
146,0.11925395578145981,0.01876,0.1153
147,0.11240504682064056,0.0195,0.1142
148,0.03604379668831825,0.01858,0.1136
149,0.07690154761075974,0.01882,0.1144
150,0.09613267332315445,0.01818,0.1151
151,0.02165398560464382,0.01764,0.1137
152,0.10743874311447144,0.01784,0.1163
153,0.07275242358446121,0.01844,0.1154
154,0.030209537595510483,0.01774,0.116
155,0.08254535496234894,0.0181,0.1157
156,0.24797654151916504,0.0173,0.1149
157,0.12426670640707016,0.01742,0.1148
158,0.1839859038591385,0.01744,0.1148
159,0.09652823209762573,0.01742,0.1157
160,0.02556394413113594,0.01742,0.1151
161,0.08212343603372574,0.01762,0.1159
162,0.06635171920061111,0.01652,0.1152
163,0.051396094262599945,0.01728,0.1163
