epoch,train_loss,train_err,test_err
0,2.2702908515930176,0.8121,0.8041
1,1.6295772790908813,0.62198,0.6043
2,1.174638032913208,0.5935,0.5882
3,1.2637083530426025,0.4389,0.4336
4,1.1798969507217407,0.39454,0.3887
5,0.7824336886405945,0.3488,0.3471
6,0.9105501174926758,0.3122,0.3209
7,0.7689620852470398,0.29848,0.3045
8,0.9272780418395996,0.25734,0.2756
9,0.5675706267356873,0.24382,0.2523
10,0.6399780511856079,0.2152,0.2286
11,0.700959324836731,0.21202,0.2305
12,0.44999369978904724,0.20238,0.2246
13,0.6794060468673706,0.19198,0.2101
14,0.5307539105415344,0.17844,0.2027
15,0.504014253616333,0.19434,0.2286
16,0.5224524140357971,0.18906,0.2106
17,0.4688354432582855,0.18554,0.2101
18,0.5007952451705933,0.18456,0.2066
19,0.4477573037147522,0.16392,0.1915
20,0.5067609548568726,0.17078,0.2054
21,0.4879072606563568,0.17824,0.2163
22,0.32239794731140137,0.17514,0.212
23,0.44451960921287537,0.15166,0.1815
24,0.27403926849365234,0.1416,0.1742
25,0.40519779920578003,0.15416,0.1932
26,0.6099621057510376,0.15958,0.1916
27,0.44827428460121155,0.12542,0.1662
28,0.3838864862918854,0.14768,0.1859
29,0.41996365785598755,0.14182,0.1802
30,0.3810555934906006,0.133,0.172
31,0.21828368306159973,0.11382,0.153
32,0.3553045690059662,0.12312,0.1681
33,0.3460952639579773,0.1161,0.1584
34,0.3577309250831604,0.121,0.1592
35,0.5449293255805969,0.13242,0.1775
36,0.3197864294052124,0.13864,0.1783
37,0.36459630727767944,0.11658,0.1637
38,0.3521498441696167,0.11364,0.1573
39,0.3201395869255066,0.11466,0.157
40,0.19380861520767212,0.11362,0.1518
41,0.23565936088562012,0.14884,0.1948
42,0.23372793197631836,0.09878,0.1457
43,0.1715051829814911,0.10196,0.1523
44,0.36018916964530945,0.11774,0.1677
45,0.2714269459247589,0.10306,0.1566
46,0.4445987641811371,0.17186,0.2238
47,0.2761816382408142,0.11156,0.1606
