epoch,train_loss,train_err,test_err
0,2.2945029735565186,0.84542,0.8422
1,2.0970406532287598,0.80754,0.7978
2,1.8764677047729492,0.76644,0.7543
3,2.023693323135376,0.74466,0.7223
4,1.9288387298583984,0.71358,0.6969
5,1.7526357173919678,0.71434,0.6986
6,1.7448854446411133,0.68624,0.6681
7,1.7915809154510498,0.6723,0.6591
8,1.7330493927001953,0.66464,0.6412
9,1.5977118015289307,0.68756,0.6589
10,1.776963233947754,0.71212,0.6934
11,1.67551589012146,0.63948,0.6304
12,1.5042126178741455,0.65296,0.6334
13,1.718858003616333,0.61996,0.6062
14,1.4170260429382324,0.59258,0.5798
15,1.5222618579864502,0.61926,0.6022
16,1.5487920045852661,0.62708,0.6097
17,1.4974921941757202,0.59524,0.5766
18,1.385957956314087,0.57282,0.5527
19,1.4848356246948242,0.57044,0.552
20,1.464781403541565,0.5426,0.5274
21,1.4197852611541748,0.5524,0.5311
22,1.434631586074829,0.53714,0.5347
23,1.4737821817398071,0.58364,0.5759
24,1.1183207035064697,0.47346,0.4583
25,1.3764638900756836,0.48414,0.4807
26,1.3262035846710205,0.56654,0.5285
27,0.9930424690246582,0.46162,0.4537
28,1.0199594497680664,0.47538,0.4484
29,1.3130849599838257,0.48908,0.4866
30,1.1076302528381348,0.46034,0.4422
31,1.3261339664459229,0.5896,0.5629
32,1.0797650814056396,0.4384,0.4313
33,0.9265671968460083,0.40264,0.3812
34,1.1056666374206543,0.4325,0.4291
35,1.201580286026001,0.50054,0.4835
36,0.882422149181366,0.39114,0.3862
37,1.0054707527160645,0.38638,0.362
38,0.835300624370575,0.4375,0.4104
39,0.8765079379081726,0.39824,0.3953
40,0.6725407838821411,0.46758,0.4531
41,0.9583044052124023,0.41196,0.4069
42,1.1817593574523926,0.42146,0.3961
43,0.979790985584259,0.52738,0.5102
44,0.7921025156974792,0.33266,0.309
45,0.8967214822769165,0.33506,0.3379
46,0.8495928049087524,0.38304,0.3701
47,0.9451796412467957,0.37178,0.3778
48,0.8965347409248352,0.36382,0.3537
49,0.7441032528877258,0.49616,0.4973
50,0.6362032294273376,0.43562,0.4322
51,0.8823080062866211,0.31812,0.3212
52,0.7558075785636902,0.32598,0.3301
53,0.7724370360374451,0.31074,0.3252
54,0.5340739488601685,0.30808,0.3171
55,0.7295883893966675,0.3465,0.3486
56,0.7399467825889587,0.30566,0.315
57,0.6070459485054016,0.35436,0.3675
58,0.9597644805908203,0.31018,0.307
59,0.8846562504768372,0.3534,0.3609
60,0.8448125720024109,0.29366,0.2848
61,0.6053937673568726,0.32178,0.335
62,0.8878142237663269,0.29216,0.2846
63,0.693828284740448,0.32422,0.3158
64,0.6727057099342346,0.41734,0.404
65,0.8170468211174011,0.261,0.2705
66,0.6954383254051208,0.36344,0.3704
67,0.7925833463668823,0.26406,0.2642
68,0.9360437393188477,0.55138,0.5346
69,0.7605140209197998,0.2768,0.2898
70,0.6444586515426636,0.3545,0.3723
71,0.5675545930862427,0.24284,0.2563
72,0.6304474472999573,0.2236,0.2357
73,0.5758441686630249,0.25938,0.2637
74,0.7047155499458313,0.21732,0.2295
75,0.7258039712905884,0.35902,0.3512
76,0.42682084441185,0.20868,0.2204
77,0.6989738345146179,0.3714,0.3915
78,0.49158191680908203,0.244,0.25
79,0.4592624306678772,0.27286,0.2796
80,0.8490005731582642,0.27024,0.2852
81,0.6349539756774902,0.34662,0.3481
82,0.543097972869873,0.1414,0.1641
83,0.43295055627822876,0.13468,0.1619
84,0.3796132504940033,0.135,0.1595
85,0.4436782896518707,0.13218,0.1595
86,0.6242207884788513,0.13094,0.1624
87,0.49797120690345764,0.12972,0.1585
88,0.34663617610931396,0.1284,0.159
89,0.3092564046382904,0.12906,0.1569
90,0.3753788471221924,0.12468,0.1596
91,0.3260404169559479,0.12608,0.1541
92,0.45165252685546875,0.12372,0.1547
93,0.3409700095653534,0.12502,0.1576
94,0.4926798939704895,0.12446,0.1583
95,0.29091933369636536,0.12348,0.1583
96,0.4398474097251892,0.1177,0.1529
97,0.24576716125011444,0.11728,0.1524
98,0.42144712805747986,0.11996,0.1526
99,0.34412017464637756,0.1197,0.1546
100,0.5048589110374451,0.11586,0.1541
101,0.34644919633865356,0.11978,0.1583
102,0.4482230246067047,0.11882,0.1541
103,0.3932258188724518,0.1181,0.1561
104,0.4319281578063965,0.11658,0.1535
105,0.35162419080734253,0.11668,0.1552
106,0.22165091335773468,0.11274,0.1533
107,0.3971070647239685,0.11892,0.1572
108,0.3376721143722534,0.11356,0.1498
109,0.35514622926712036,0.1159,0.1573
110,0.28401780128479004,0.1187,0.1572
111,0.25290101766586304,0.11608,0.1558
112,0.3325973153114319,0.1132,0.1561
113,0.48666101694107056,0.11238,0.1531
114,0.5868081450462341,0.11614,0.1553
115,0.346772700548172,0.1146,0.1596
116,0.4010912775993347,0.10992,0.153
117,0.38134923577308655,0.10826,0.1538
118,0.4885704517364502,0.11154,0.1524
119,0.2630990147590637,0.10898,0.1525
120,0.2180463820695877,0.1091,0.1556
121,0.4310626983642578,0.1082,0.1543
122,0.3319926857948303,0.10882,0.1566
123,0.18400949239730835,0.09524,0.1456
124,0.18321087956428528,0.0944,0.1446
125,0.22097840905189514,0.09308,0.1436
126,0.27979597449302673,0.09232,0.1436
127,0.29531174898147583,0.0928,0.143
128,0.2289734184741974,0.09054,0.1416
129,0.1955311894416809,0.09272,0.1423
130,0.4377925395965576,0.09042,0.1432
131,0.3166109025478363,0.09194,0.1429
132,0.32011085748672485,0.0918,0.1431
133,0.3245970904827118,0.09078,0.1423
134,0.31945955753326416,0.09166,0.1443
135,0.24958741664886475,0.0897,0.1416
136,0.2283938229084015,0.09014,0.1432
137,0.20711787045001984,0.09044,0.1438
138,0.38672536611557007,0.08926,0.1414
139,0.3240795135498047,0.08908,0.1444
140,0.2701743543148041,0.0898,0.1419
141,0.4098694324493408,0.08962,0.1437
142,0.3586302101612091,0.08928,0.1431
143,0.3002907633781433,0.08802,0.1421
144,0.28774142265319824,0.0878,0.1426
145,0.28532135486602783,0.0889,0.143
146,0.20282363891601562,0.08798,0.1424
147,0.3572480380535126,0.08854,0.145
148,0.429288387298584,0.08834,0.1421
149,0.3117014765739441,0.0883,0.145
150,0.4240269660949707,0.08824,0.1431
151,0.30880653858184814,0.0872,0.1436
152,0.27070268988609314,0.08852,0.142
153,0.4074650704860687,0.08814,0.1417
154,0.16497960686683655,0.08678,0.1435
155,0.38737696409225464,0.08692,0.1426
156,0.24193315207958221,0.0867,0.1437
157,0.2956780195236206,0.08734,0.1446
158,0.20930036902427673,0.08814,0.1434
159,0.21626856923103333,0.08666,0.1422
160,0.27720290422439575,0.08692,0.1419
161,0.33459240198135376,0.0868,0.1446
162,0.31909874081611633,0.0855,0.1436
163,0.20102755725383759,0.08484,0.1446
